MatchNo,FIFA_ID,Home,Away,Status,Score,HomeGoals,AwayGoals,ResultType,MatchTime,DecidedBy,Home90,Away90,HomeExtra,AwayExtra,HomePen,AwayPen,Winner,Loser
86,400021515,AUS,EGY,,1-1,1,1,2,129',PENALTY,1,1,0,0,2,4,EGY,AUS
87,400021521,ARG,CPV,,3-2,3,2,3,124',EXTRA,1,1,2,1,,,ARG,CPV
88,400021517,COL,GHA,,1-0,1,0,1,98',REGULAR,1,0,—,—,,,COL,GHA
89,400021530,CAN,MAR,,0-3,0,3,1,100',REGULAR,0,3,—,—,,,MAR,CAN
90,400021533,PAR,FRA,,0-1,0,1,1,101',REGULAR,0,1,—,—,,,FRA,PAR
91,400021532,BRA,NOR,,1-2,1,2,1,102',REGULAR,1,2,—,—,,,NOR,BRA
92,400021531,MEX,ENG,,2-3,2,3,1,103',REGULAR,2,3,—,—,,,ENG,MEX
93,400021529,POR,ESP,,0-1,0,1,1,99',REGULAR,0,1,—,—,,,ESP,POR
94,400021534,USA,BEL,,1-4,1,4,1,95',REGULAR,1,4,—,—,,,BEL,USA
95,400021528,ARG,EGY,,3-2,3,2,1,102',REGULAR,3,2,—,—,,,ARG,EGY
96,400021535,SUI,COL,,0-0,0,0,2,130',PENALTY,0,0,0,0,4,3,SUI,COL
97,400021536,FRA,MAR,,2-0,2,0,1,97',REGULAR,2,0,—,—,,,FRA,MAR
98,400021538,ESP,BEL,,2-1,2,1,1,98',REGULAR,2,1,—,—,,,ESP,BEL
